name,gender,country,nationality,disciplines,events,age,has_a_coach,won_a_medal,medal_count
HASHIMI Fariba,Female,Afghanistan,Afghanistan,['Cycling Road'],"[""Women's Road Race""]",21,No,No,0
YOUSOFI Kimia,Female,Afghanistan,Afghanistan,['Athletics'],"[""Women's 100m""]",28,Yes,No,0
PESOTSKA Margaryta,Female,Ukraine,Ukraine,['Table Tennis'],"[""Women's Singles""]",33,Yes,No,0
BRATEYKO Solomiya,Female,Ukraine,Ukraine,['Table Tennis'],"[""Women's Singles""]",25,No,No,0
ZHMUDENKO Yaroslav,Male,Ukraine,Ukraine,['Table Tennis'],"[""Men's Singles""]",36,No,No,0
ANWARI Fahim,Male,Afghanistan,Afghanistan,['Swimming'],"[""Men's 50m Freestyle""]",25,Yes,No,0
ROMANCHUK Mykhailo,Male,Ukraine,Ukraine,['Swimming'],"[""Men's 1500m Freestyle"", ""Men's 800m Freestyle""]",28,No,No,0
BUKHOV Vladyslav,Male,Ukraine,Ukraine,['Swimming'],"[""Men's 50m Freestyle""]",22,Yes,No,0
KESIL Denys,Male,Ukraine,Ukraine,['Swimming'],"[""Men's 200m Butterfly""]",24,Yes,No,0
ZHELTIAKOV Oleksandr,Male,Ukraine,Ukraine,['Swimming'],"[""Men's 100m Backstroke"", ""Men's 200m Backstroke""]",19,Yes,No,0
PRIYANKA,Female,India,India,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",28,Yes,No,0
JACOB Amoj,Male,India,India,['Athletics'],"[""Men's 4 x 400m Relay""]",26,Yes,No,0
COLODROVSCHI Silvian,Male,Romania,Romania,['Water Polo'],['Men'],24,Yes,No,0
DRAGUSIN Eduard,Male,Romania,Romania,['Water Polo'],['Men'],40,Yes,No,0
FULEA Tudor-Andrei,Male,Romania,Romania,['Water Polo'],['Men'],27,Yes,No,0
GEORGESCU Vlad-Luca,Male,Romania,Romania,['Water Polo'],['Men'],25,Yes,No,0
IUDEAN Francesco,Male,Romania,Romania,['Water Polo'],['Men'],23,Yes,No,0
LUTESCU Matei,Male,Romania,Romania,['Water Polo'],['Men'],22,Yes,No,0
NEAMTU Andrei,Male,Romania,Romania,['Water Polo'],['Men'],20,Yes,No,0
OANTA Nicolae,Male,Romania,Romania,['Water Polo'],['Men'],34,Yes,No,0
PRIOTEASA Andrei,Male,Romania,Romania,['Water Polo'],['Men'],28,Yes,No,0
TEPELUS Andrei,Male,Romania,Romania,['Water Polo'],['Men'],19,Yes,No,0
